"","SourceFile","Directory","FileName","Rings_visible","Rings_comb","Flag","comments","Molt","Score","date"
"282","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_03 Evening ob Paraducklins and N26ck/IMG_9952.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_03 Evening ob Paraducklins and N26ck","IMG_9952.JPG","1","RRGB","0","","1",6,2021-11-03
"283","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_0033.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_0033.JPG","1","RRYO","0","RRYR/O?","1",5,2021-11-04
"284","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_0034.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_0034.JPG","1","RYLY","0","","1",5,2021-11-04
"285","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_9938.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_9938.JPG","1","RRBB","0","","1",4,2021-11-04
"286","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_9940.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_9940.JPG","1","RRBB","0","","1",4,2021-11-04
"287","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_9942.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_9942.JPG","1","RWBG","0","","1",7,2021-11-04
"288","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_9947.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_9947.JPG","1","RWLG","0","","1",5,2021-11-04
"289","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_9949.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_9949.JPG","1","RWLB","0","","1",5,2021-11-04
"290","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_9950.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_9950.JPG","1","RWBG","0","","1",6,2021-11-04
"291","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house/IMG_9958.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_04 Dotterels Bev and purple house","IMG_9958.JPG","1","RWBG","0","","1",6,2021-11-04
"292","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3/IMG_0102.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3","IMG_0102.JPG","1","RRGO","0","","1",6,2021-11-05
"293","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3/IMG_0107.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3","IMG_0107.JPG","1","RRGO","0","","1",6,2021-11-05
"294","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3/IMG_0134.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3","IMG_0134.JPG","1","RRLY","0","","1",5,2021-11-05
"295","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3/IMG_0136.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3","IMG_0136.JPG","1","RRLY","0","","1",5,2021-11-05
"296","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3/IMG_0152.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_05 Nest Gooch 3","IMG_0152.JPG","1","RRGW","0","chick","0",NA,2021-11-05
"297","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_9945.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_9945.JPG","1","RLYY","0","","1",5,2021-11-08
"298","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_9954.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_9954.JPG","1","RLYY","0","","1",5,2021-11-08
"299","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_9966.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_9966.JPG","1","RLYY","0","","1",5,2021-11-08
"300","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_9972.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_9972.JPG","1","RWBB","0","","0",NA,2021-11-08
"301","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0011.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0011.JPG","1","RWBY","0","","1",5,2021-11-09
